class,num_videos,avg_baseline_tokens,avg_diff_tokens,avg_token_reduction,avg_lexical_redundancy_baseline,avg_lexical_redundancy_diff,avg_info_density_baseline,avg_info_density_diff
Bending something so that it deforms,20,597.5,260.6,0.5638493723849372,0.35917928072507277,0.2513763562186815,0.006894151416765594,0.038192262834369974
closing something,20,646.3,234.6,0.6370106761565837,0.3777219390397048,0.2792650527854788,0.01297715668362653,0.05168343018826841
Folding something,20,635.5,254.6,0.5993705743509048,0.3595524101308047,0.23672952341055958,0.011356690918016332,0.04369236011085968
Pouring something into something,20,575.9,228.8,0.6027088036117381,0.4239220151577957,0.30907543869404885,0.020421562962402114,0.045712278319921786
Pouring something into something until it overflows,20,563.8,232.55,0.5875310393756651,0.39363322878722024,0.30411593337101345,0.02851441683062509,0.04998292648962776
Something falling like a rock,20,682.4,218.65,0.679586752637749,0.37542865890921745,0.2677717557213827,0.0020971327501360373,0.033705061641131066
Throwing something,20,657.4,218.1,0.6682385153635534,0.34914132629778216,0.28086230019279596,0.004149385649293262,0.03141717862048143
Uncovering something,20,605.6,223.8,0.630449141347424,0.3432993742173489,0.24388331321496656,0.002381790746218145,0.030969086035991755
